id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev,property_type,room_type,host_response_rate,number_of_reviews
57408,6.71,Oostelijk Havengebied - Indische Buurt,2,85,97,72420,Apartment,Entire home/apt,1,213
57811,6.7,Centrum-Oost,1,125,100,1500,Apartment,Entire home/apt,1,6
57841,6.7,Centrum-West,4,119,94,124236,Bed & Breakfast,Entire home/apt,0.96,174
404740,6.7,De Baarsjes - Oud-West,4,250,100,3000,House,Entire home/apt,0.91,1
57978,6.7,Zuid,3,95,93,69920,Apartment,Entire home/apt,0.91,92
58211,6.69,Centrum-West,2,195,95,13260,Apartment,Entire home/apt,1,17
1508856,6.69,Centrum-West,3,195,98,29640,Apartment,Entire home/apt,1,38
58600,6.68,Westerpark,8,120,90,13200,Apartment,Entire home/apt,0.95,55
701898,6.67,Watergraafsmeer,2,99,100,3960,Apartment,Entire home/apt,1,5
474380,6.66,Centrum-Oost,1,120,100,4320,Apartment,Entire home/apt,1,3
59963,6.66,Centrum-Oost,1,125,91,24750,Apartment,Entire home/apt,1,33
59968,6.66,Centrum-Oost,2,150,87,23400,Apartment,Entire home/apt,1,26
221060,6.66,Centrum-West,2,150,100,10800,Apartment,Entire home/apt,1,12
299706,6.66,Centrum-West,1,100,100,1800,Apartment,Entire home/apt,1,3
300954,6.66,Centrum-West,1,100,90,4800,Apartment,Entire home/apt,1,8
1384831,6.66,Bos en Lommer,1,135,100,2430,House,Entire home/apt,1,3
1642861,6.66,Oostelijk Havengebied - Indische Buurt,1,100,100,1800,Apartment,Entire home/apt,1,3
4002859,6.66,Centrum-West,1,110,90,5280,Apartment,Entire home/apt,1,8
772474,6.66,Centrum-Oost,1,100,94,6000,Apartment,Entire home/apt,1,10
216225,6.63,Centrum-Oost,1,70,91,36120,Apartment,Private room,0.94,129
62015,6.63,Oud-Oost,1,150,95,3000,Apartment,Entire home/apt,0.85,5
711895,6.62,Centrum-West,4,300,88,5400,Apartment,Entire home/apt,1,9
1730433,6.62,Centrum-West,3,156,100,1872,Apartment,Entire home/apt,1,6
3055265,6.62,Centrum-Oost,3,200,92,5200,Apartment,Entire home/apt,1,13
64736,6.62,De Baarsjes - Oud-West,1,110,96,19140,Boat,Entire home/apt,1,29
63008,6.62,De Baarsjes - Oud-West,3,89,94,58740,Apartment,Entire home/apt,0.7,110
63016,6.62,De Pijp - Rivierenbuurt,1,123,97,2952,Apartment,Entire home/apt,0.8,6
2456244,6.6,De Pijp - Rivierenbuurt,1,55,91,5720,Apartment,Entire home/apt,1,13
63872,6.6,Centrum-Oost,1,127,98,28956,Apartment,Entire home/apt,0.9,38
4587668,6.6,Centrum-Oost,1,105,100,840,Apartment,Entire home/apt,1,2
64769,6.6,Centrum-Oost,6,350,97,63000,House,Entire home/apt,0.56,18
71236,6.59,Centrum-Oost,1,103,94,13802,Apartment,Entire home/apt,0.8,67
225488,6.58,Centrum-West,1,115,98,6900,Apartment,Entire home/apt,1,10
3163199,6.54,De Pijp - Rivierenbuurt,3,95,80,570,Apartment,Entire home/apt,1,1
642829,6.54,IJburg - Zeeburgereiland,5,157,90,942,Apartment,Entire home/apt,1,1
637929,6.54,Centrum-West,5,157,97,942,Apartment,Entire home/apt,1,1
638319,6.54,Centrum-Oost,1,120,94,1440,Apartment,Entire home/apt,1,2
3162451,6.54,Centrum-West,2,161,80,1932,Boat,Entire home/apt,1,2
1233749,6.54,Centrum-West,3,147,80,882,Apartment,Entire home/apt,1,1
754563,6.54,De Baarsjes - Oud-West,1,132,100,792,Apartment,Entire home/apt,1,1
